Location_Code,Total_Pop,Male,Female,Male_Rate,Female_Rate
E01012334,2466,1220,1246,0.49472830494728304,0.505271695052717
E01012335,1383,682,701,0.49313087490961677,0.5068691250903832
E01012366,2008,972,1036,0.48406374501992033,0.5159362549800797
E01033481,1364,680,684,0.49853372434017595,0.501466275659824
E01033482,1621,810,811,0.499691548426897,0.500308451573103
E01012323,1563,799,764,0.5111964171465131,0.4888035828534869
E01012324,1399,671,728,0.47962830593280914,0.5203716940671909
E01032545,1259,631,628,0.5011914217633042,0.4988085782366958
E01032546,1776,886,890,0.4988738738738739,0.5011261261261262
E01012328,1571,768,803,0.48886059834500317,0.5111394016549968
E01012329,1770,855,915,0.4830508474576271,0.5169491525423728
E01012330,1145,549,596,0.4794759825327511,0.5205240174672489
E01012331,1255,609,646,0.4852589641434263,0.5147410358565737
E01012349,1532,762,770,0.49738903394255873,0.5026109660574413
E01012350,1517,747,770,0.4924192485168095,0.5075807514831905
E01012351,1438,718,720,0.4993045897079277,0.5006954102920723
E01012352,1579,774,805,0.4901836605446485,0.5098163394553515
E01012325,1456,709,747,0.48695054945054944,0.5130494505494505
E01012326,1129,550,579,0.4871567759078831,0.5128432240921169
E01012332,1427,656,771,0.45970567624386827,0.5402943237561317
E01012333,1451,691,760,0.47622329427980703,0.523776705720193
E01012309,1858,916,942,0.4930032292787944,0.5069967707212056
E01012310,1960,961,999,0.4903061224489796,0.5096938775510204
E01012311,1567,731,836,0.46649649010848754,0.5335035098915124
E01012312,1351,649,702,0.48038490007401924,0.5196150999259808
E01012313,1402,662,740,0.47218259629101283,0.5278174037089871
E01012314,1364,652,712,0.4780058651026393,0.5219941348973607
E01012362,1376,677,699,0.49200581395348836,0.5079941860465116
E01012363,1334,647,687,0.48500749625187406,0.5149925037481259
E01012364,1485,690,795,0.46464646464646464,0.5353535353535354
E01012365,1255,587,668,0.46772908366533866,0.5322709163346614
E01012353,1612,822,790,0.5099255583126551,0.49007444168734493
E01012354,1608,870,738,0.5410447761194029,0.458955223880597
E01012355,1491,756,735,0.5070422535211268,0.49295774647887325
E01033483,1040,570,470,0.5480769230769231,0.4519230769230769
E01033484,1167,595,572,0.5098543273350471,0.49014567266495285
E01012307,1897,969,928,0.510806536636795,0.48919346336320507
E01012327,1575,697,878,0.44253968253968257,0.5574603174603174
E01012342,1778,829,949,0.46625421822272217,0.5337457817772778
E01012343,2004,984,1020,0.49101796407185627,0.5089820359281437
E01012315,1648,781,867,0.47390776699029125,0.5260922330097088
E01012316,2515,1256,1259,0.49940357852882705,0.500596421471173
E01012360,1742,820,922,0.4707233065442021,0.529276693455798
E01012336,1745,815,930,0.4670487106017192,0.5329512893982808
E01012337,1733,831,902,0.47951529140219273,0.5204847085978073
E01012347,1722,829,893,0.4814169570267131,0.5185830429732868
E01012348,1986,952,1034,0.47935548841893255,0.5206445115810675
E01012361,1909,897,1012,0.46987951807228917,0.5301204819277109
E01012304,1210,588,622,0.4859504132231405,0.5140495867768595
E01012305,1231,624,607,0.5069049553208773,0.4930950446791227
E01012306,1591,764,827,0.48020113136392206,0.5197988686360779
E01012340,2422,1197,1225,0.49421965317919075,0.5057803468208093
E01012341,1759,832,927,0.47299602046617395,0.527003979533826
E01012317,1370,675,695,0.4927007299270073,0.5072992700729927
E01012318,2335,1149,1186,0.49207708779443254,0.5079229122055674
E01012319,2811,1357,1454,0.48274635361081464,0.5172536463891854
E01012356,1600,790,810,0.49375,0.50625
E01012357,1447,742,705,0.5127850725639254,0.48721492743607464
E01012358,1679,835,844,0.4973198332340679,0.5026801667659321
E01012359,1586,707,879,0.4457755359394704,0.5542244640605296
E01012338,1908,918,990,0.4811320754716981,0.5188679245283019
E01012339,1732,843,889,0.4867205542725173,0.5132794457274826
E01012344,1337,649,688,0.48541510845175767,0.5145848915482424
E01012345,1480,718,762,0.4851351351351351,0.5148648648648648
E01012346,1833,911,922,0.496999454446263,0.5030005455537371
E01020613,1392,688,704,0.4942528735632184,0.5057471264367817
E01020614,1429,678,751,0.47445766270118966,0.5255423372988104
E01020622,1657,829,828,0.5003017501508751,0.4996982498491249
E01020623,1503,756,747,0.5029940119760479,0.49700598802395207
E01020606,1509,751,758,0.49768058316766073,0.5023194168323393
E01020615,1778,844,934,0.4746906636670416,0.5253093363329584
E01020616,1688,807,881,0.47808056872037913,0.5219194312796208
E01020617,1812,884,928,0.4878587196467991,0.5121412803532008
E01020596,1679,787,892,0.46873138773079215,0.5312686122692079
E01020597,1495,733,762,0.4903010033444816,0.5096989966555184
E01020598,1770,871,899,0.492090395480226,0.507909604519774
E01020611,1346,635,711,0.47176820208023773,0.5282317979197623
E01020612,1626,798,828,0.4907749077490775,0.5092250922509225
E01020592,1514,684,830,0.45178335535006603,0.5482166446499339
E01020593,1227,594,633,0.4841075794621027,0.5158924205378973
E01020599,1701,845,856,0.496766607877719,0.503233392122281
E01020601,1550,745,805,0.4806451612903226,0.5193548387096775
E01020602,1829,833,996,0.4554401312192455,0.5445598687807545
E01020618,1558,775,783,0.49743260590500643,0.5025673940949936
E01020594,1641,819,822,0.4990859232175503,0.5009140767824497
